Sr. No.,Work Category,Work ID,Work Type,Work Description,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Has Image,Completion Date,Amount Disbursed (INR)
11,Normal/Others,WS/MP18152/2024-2025/133701,Installing community drinking water plants,Installation of RO System and water cooler in Govt Primary school Bajakhana Main,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,84500.0
12,Normal/Others,WS/MP18152/2024-2025/133693,Construction of rooms and halls in school and colleges,Construction of MID DAY Meal Shed in Govt Primary school Gumti Khurd,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,300000.0
13,Normal/Others,WS/MP18152/2024-2025/133703,Installing community drinking water plants,Installation of RO System and water cooler in Govt Primary school Dhudi,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,84500.0
14,Normal/Others,WS/MP18152/2024-2025/133688,Construction of rooms and halls in school and colleges,Construction of MID DAY Meal Shed in Govt Primary school Sedha Singhwala,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,300000.0
15,Normal/Others,WS/MP18152/2024-2025/133687,Construction of rooms and halls in school and colleges,Construction of MID DAY Meal Shed in Govt Primary school Gondara,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,300000.0
16,Normal/Others,WS/MP345/2024-2025/134123,Construction of rooms and halls in school and colleges,Construction of building for Kadamancode Tribal LP School in Kulathupuzha Grama Panchayat in  Punalur Constituency (ST),Kerala,KOLLAM,DISTRICT COLLECTOR KOLLAM,Shri NK Premachandran,KOLLAM,True,2024-12-06,4740188.0
17,Normal/Others,WS/MP18278/2024-2025/134671,"Construction of roads, link roads, pathways or any other road with or without drainage system",CC Road- From the Godhan Raju ahead of the house.,Chhattisgarh,JANJGIR-CHAMPA,DISTRICT COLLECTOR JANJGIR CHAMPA,KAMLESH JANGDE,JANJGIR CHAMPA(SC),True,2024-10-08,500000.0
18,Normal/Others,WS/MP18278/2024-2025/134668,"Construction of roads, link roads, pathways or any other road with or without drainage system",CC Road- Amit Sahu ahead of the house.,Chhattisgarh,JANJGIR-CHAMPA,DISTRICT COLLECTOR JANJGIR CHAMPA,KAMLESH JANGDE,JANJGIR CHAMPA(SC),True,2024-12-06,1500000.0
19,Normal/Others,WS/MP620/2024-2025/133312,Construction of buildings for community cultural activities,Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,Karnataka,DHARWAD,DEPUTY COMMISSIONER DHARWAR,Pralhad Venkatesh Joshi,DHARWAD,True,2025-06-09,498091.0
20,Normal/Others,WS/MP620/2024-2025/133166,Construction of buildings for community cultural activities,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,Karnataka,DHARWAD,DEPUTY COMMISSIONER DHARWAR,Pralhad Venkatesh Joshi,DHARWAD,True,2024-10-14,497185.0
21,Normal/Others,WS/MP672/2024-2025/136731,Lighting of public spaces,"Installation of Highmast light and electric poles with light at Gosavi Ghat, Binaki, Nagpur",Maharashtra,NAGPUR,DISTRICT COLLECTOR NAGPUR,Nitin Jairam Gadkari,NAGPUR,True,2024-08-23,963514.0
22,Normal/Others,WS/MP18278/2024-2025/134638,Construction of common work sheds/ common covered sitting area,Construction of common sitting area (Chaburta),Chhattisgarh,SAKTI,COLLECTOR SAKTI,KAMLESH JANGDE,JANJGIR CHAMPA(SC),True,2025-02-12,300000.0
23,Normal/Others,WS/MP18278/2024-2025/134644,"Construction of roads, link roads, pathways or any other road with or without drainage system",CC Road- Ahead from the main road towards the canal.,Chhattisgarh,SAKTI,COLLECTOR SAKTI,KAMLESH JANGDE,JANJGIR CHAMPA(SC),True,2025-02-12,1000000.0
24,Normal/Others,WS/MP18278/2024-2025/134646,"Construction of roads, link roads, pathways or any other road with or without drainage system",CC Road- From the road towards the Colony,Chhattisgarh,SAKTI,COLLECTOR SAKTI,KAMLESH JANGDE,JANJGIR CHAMPA(SC),True,2024-11-25,999550.0
25,Normal/Others,WS/MP18278/2024-2025/134674,"Construction of roads, link roads, pathways or any other road with or without drainage system",CC Road- Community Building to Patharri pond (Taalab).,Chhattisgarh,JANJGIR-CHAMPA,DISTRICT COLLECTOR JANJGIR CHAMPA,KAMLESH JANGDE,JANJGIR CHAMPA(SC),True,2024-11-27,998000.0
26,Normal/Others,WS/MP492/2024-2025/134984,Lighting of public spaces,Installation of 156 LED Highmast Lights for Rural and Urban areas as per enclosed List,Uttar Pradesh,SHAHJAHANPUR,DISTRICT MAGISTRAE SHAHJAHANAPUR,Shri Arun Kumar Sagar,SHAHJAHANPUR(SC),True,2024-11-25,37908000.0
27,Normal/Others,WS/MP492/2024-2025/134981,Construction of bus-sheds or bus-stops,15 Yatri Tin/Bus shades List for rural and Urban Areas as per enclosed List,Uttar Pradesh,SHAHJAHANPUR,DISTRICT MAGISTRAE SHAHJAHANAPUR,Shri Arun Kumar Sagar,SHAHJAHANPUR(SC),False,2024-11-25,9900000.0
28,Normal/Others,WS/MP18152/2024-2025/133697,Construction of rooms and halls in school and colleges,Construction of Smart Classroom & Cycle Shed in Govt Primary school Machaki Mal Singh,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,298940.0
29,Normal/Others,WS/MP347/2024-2025/138112,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of side protection wall and concreating of Erattakottu Palanirappil road in ward 8, Neduvathur Grama Panchayath (SC)",Kerala,KOLLAM,DISTRICT COLLECTOR KOLLAM,Shri Suresh Kodikunnil,MAVELIKKARA(SC),True,2024-09-09,1254628.0
30,Normal/Others,WS/MP18278/2024-2025/134672,"Construction of roads, link roads, pathways or any other road with or without drainage system",CC Road- From the high school towards the Fair Ground,Chhattisgarh,JANJGIR-CHAMPA,DISTRICT COLLECTOR JANJGIR CHAMPA,KAMLESH JANGDE,JANJGIR CHAMPA(SC),True,2024-10-17,991511.0
31,Normal/Others,WS/MP691/2024-2025/140096,Fitting of Sitting RCC Benches in Public Places,Mauje Bodwad Bodwad District  Seating Arrangment at various places for inner city citizens in Jalgaon.,Maharashtra,JALGAON,DISTRICT COLLECTOR JALGAON,Smt Raksha Nikhil Khadse,RAVER,True,2024-09-11,2974718.0
32,Normal/Others,WS/MP18278/2024-2025/134649,Construction of culverts and bridges,Construction of culverts and bridges- Between Singhra and Chhote Kot,Chhattisgarh,SAKTI,COLLECTOR SAKTI,KAMLESH JANGDE,JANJGIR CHAMPA(SC),True,2025-03-05,998871.0
33,Normal/Others,WS/MP18328/2024-2025/138242,Lighting of public spaces,"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) to the house of Jamna Devi W/o Late Sh. Devki Nandan, Village Khuiri Dom, PO- Rajgarh, Tehsil-Balh, District-Mandi, H.P. PIN-175027, Ph- 8219147679",Himachal Pradesh,MANDI,DEPUTY COMMISSIONER MANDI,Kangana Ranaut,MANDI,False,2025-06-16,14805.0
34,Normal/Others,WS/MP18328/2024-2025/138243,Lighting of public spaces,"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) to the house of Deepak Thakur S/o Late Sh. Devki Nandan, Village Khuiri Dom, PO- Rajgarh, Tehsil-Balh, District-Mandi, H.P. PIN-175027, Ph- 7986677538",Himachal Pradesh,MANDI,DEPUTY COMMISSIONER MANDI,Kangana Ranaut,MANDI,False,2025-06-16,14805.0
35,Normal/Others,WS/MP18328/2024-2025/138244,Lighting of public spaces,"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) near the house of Suneel Kumar S/o Gulaba Ram, Village Kalehri, PO- Balhara, Tehsil-Baldwara, District-Mandi, H.P. PIN-175033, Ph- 7590053551",Himachal Pradesh,MANDI,DEPUTY COMMISSIONER MANDI,Kangana Ranaut,MANDI,False,2025-06-16,14805.0
36,Normal/Others,WS/MP18152/2024-2025/133695,Construction of rooms and halls in school and colleges,Construction of Cycle Shed in Govt Primary school Lambwali,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,197304.0
37,Normal/Others,WS/MP18152/2024-2025/133699,Installing community drinking water plants,Installation of RO System and water cooler in Govt Primary school Dhilwan kalan,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,84500.0
38,Normal/Others,WS/MP18152/2024-2025/133692,Construction of rooms and halls in school and colleges,Construction of MID DAY Meal Shed in Govt Primary school Okandwala,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,299155.0
39,Normal/Others,WS/MP777/2024-2025/136655,"Construction of roads, link roads, pathways or any other road with or without drainage system","Sai enclave colony Chipiyana Buzurg Ke Gali number 8, B- block main Nirmal dairy Se Rinku Sharma Ke ghar ki aur interlocking va Naali nirman Karya, 70 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,995219.0
