Sr. No.,Work Type,Work ID,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount (INR)
31329,Providing garbage collection and disposal systems,WS/MP18152/2024-2025/150654,Punjab,MOGA,Deputy Commissioner Moga,SARABJEET SINGH KHALSA,FARIDKOT(SC),2025-08-19,NEW ARORA SANITARY STORE,Payment Success,47660.0
31330,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP578/2025-2026/159707,Gujarat,BHARUCH,DISTRICT COLLECTOR BROACH,Mansukhbhai Dhanjibhai Vasava,BHARUCH,2025-08-19,SEGVA GRAM PANCHAYAT,Payment Success,489906.0
31331,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP360/2025-2026/217225,Madhya Pradesh,UJJAIN,DISTRICT COLLECTOR UJJAIN,Shri Anil Firojiya,UJJAIN(SC),2026-02-20,Gram Panchyat Nagjhiri,Payment Success,300000.0
31332,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP360/2025-2026/217225,Madhya Pradesh,UJJAIN,DISTRICT COLLECTOR UJJAIN,Shri Anil Firojiya,UJJAIN(SC),2025-10-16,Gram Panchyat Nagjhiri,Payment Success,500000.0
31333,Construction of common work sheds/ common covered sitting area,WS/MP360/2025-2026/195105,Madhya Pradesh,UJJAIN,DISTRICT COLLECTOR UJJAIN,Shri Anil Firojiya,UJJAIN(SC),2025-10-16,Gram Panchyat Amlavdiya,Payment Success,600000.0
31334,Installing community drinking water plants,WS/MP18152/2025-2026/176294,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),2025-08-18,MR ELECTRONIC,Payment Success,85000.0
31335,Providing drains and gutters for public drainage,WS/MP18152/2024-2025/140064,Punjab,MOGA,Deputy Commissioner Moga,SARABJEET SINGH KHALSA,FARIDKOT(SC),2025-08-21,KULWINDER SINGH,Payment Success,60900.0
31336,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18165/2025-2026/206101,Rajasthan,JAIPUR,DISTRICT COLLECTOR JAIPUR,MANJU SHARMA,JAIPUR,2025-08-25,GANESH CONSTRUCTION CO,Payment Success,998496.0
31337,Installation of multi-gym equipment,WS/MP18163/2025-2026/177488,Rajasthan,DAUSA,DISTRICT COLLECTOR DAUSA,MURARI LAL MEENA,DAUSA(ST),2025-08-19,RAJAN NATANI,Payment Success,1019873.0
31338,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18014/2024-2025/167467,Andhra Pradesh,Sri Potti Sriramulu Nellore,DISTRICT COLLECTOR NELLORE,PRABHAKAR REDDY VEMIREDDY,NELLORE(SC),2025-08-28,NARRAVULA ASMATH KUMAR,Payment Success,499917.0
31339,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18158/2025-2026/232705,Punjab,PATIALA,DEPUTY COMMISSIONER PATIALA,DR DHARAMVIRA GANDHI,PATIALA,2025-11-18,GURU NANAK CEMENT STORE,Payment Success,34500.0
31340,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18158/2025-2026/232705,Punjab,PATIALA,DEPUTY COMMISSIONER PATIALA,DR DHARAMVIRA GANDHI,PATIALA,2026-08-06,Ravinder Kaur,Payment Success,40000.0
31341,Construction of buildings for community cultural activities,WS/MP18311/2024-2025/164322,Punjab,RUPNAGAR,DEPUTY COMMISSIONER ROOPNAGAR,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-08-19,BHANGAL TRADERS,Payment Success,39680.0
31342,Construction of buildings for community cultural activities,WS/MP18311/2024-2025/164322,Punjab,RUPNAGAR,DEPUTY COMMISSIONER ROOPNAGAR,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-08-19,M S SHIVA TRADERS,Payment Success,16000.0
