Sr. No.,Work Type,Work ID,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount (INR)
1,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233777,Uttar Pradesh,GHAZIABAD,DISTRICT MAGISTRAE GHAZIABAD,ATUL GARG,GHAZIABAD,2026-08-21,DARSH BUILDCON,Payment In-Progress,799146.0
2,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233878,Uttar Pradesh,GHAZIABAD,DISTRICT MAGISTRAE GHAZIABAD,ATUL GARG,GHAZIABAD,2026-08-04,DARSH BUILDCON,Payment In-Progress,832080.0
3,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233781,Uttar Pradesh,GHAZIABAD,DISTRICT MAGISTRAE GHAZIABAD,ATUL GARG,GHAZIABAD,2026-08-04,DARSH BUILDCON,Payment In-Progress,498309.0
4,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP575/2026-2027/291463,Gujarat,NAVSARI,DISTRICT COLLECTOR NAVSARI,C R Patil,NAVSARI,2026-08-29,BHARGAV SUMANTRAI PATEL,Payment In-Progress,497845.0
5,Construction of community centers and community halls,WS/MP300/2025-2026/226393,Odisha,KHORDHA,DISTRICT COLLECTOR KHORDHA,Smt Aparajita Sarangi,BHUBANESWAR,2026-08-25,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000.0
6,Construction of public irrigation facilities,WS/MP18150/2026-2027/272840,Odisha,SAMBALPUR,DISTRICT COLLECTOR SAMBALPUR,DHARMENDRA PRADHAN,SAMBALPUR,2026-09-01,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000.0
7,Construction of public irrigation facilities,WS/MP18150/2026-2027/272770,Odisha,SAMBALPUR,DISTRICT COLLECTOR SAMBALPUR,DHARMENDRA PRADHAN,SAMBALPUR,2026-09-01,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000.0
8,Construction of community centers and community halls,WS/MP18142/2025-2026/225283,Odisha,JAGATSINGHAPUR,DISTRICT COLLECTOR JAGATSINGHPUR,BIBHU PRASAD TARAI,JAGATSINGHPUR(SC),2026-09-01,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,5000.0
9,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP300/2025-2026/257871,Odisha,KHORDHA,DISTRICT COLLECTOR KHORDHA,Smt Aparajita Sarangi,BHUBANESWAR,2026-08-31,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,2000.0
10,Construction of public libraries and reading rooms,WS/MP300/2025-2026/157041,Odisha,KHORDHA,DISTRICT COLLECTOR KHORDHA,Smt Aparajita Sarangi,BHUBANESWAR,2026-08-31,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,5000.0
11,Construction of public libraries and reading rooms,WS/MP300/2025-2026/157040,Odisha,KHORDHA,DISTRICT COLLECTOR KHORDHA,Smt Aparajita Sarangi,BHUBANESWAR,2026-08-30,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,5000.0
12,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18350/2025-2026/182265,Odisha,BOUDH,District Collector Boudh,SUKANTA KUMAR PANIGRAHI,KANDHAMAL,2026-08-17,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,3000.0
13,Construction of community centers and community halls,WS/MP18142/2025-2026/185341,Odisha,PURI,DISTRICT COLLECTOR PURI,BIBHU PRASAD TARAI,JAGATSINGHPUR(SC),2026-08-28,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,2000.0
14,Construction of community centers and community halls,WS/MP18086/2026-2027/292888,Karnataka,HASSAN,DEPUTY COMMISSIONER HASSAN,SHREYAS. M. PATEL,HASSAN,2026-08-24,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,750000.0
15,Construction of common work sheds/ common covered sitting area,WS/MP641/2025-2026/220322,Madhya Pradesh,BARWANI,DISTRICT COLLECTOR BADWANI,Gajendra Singh Patel,KHARGONE(ST),2026-08-31,NAGAR PALIKA PARISHAD BARWANI,Payment In-Progress,99254.0
16,Construction of community centers and community halls,WS/MP370/2024-2025/145537,Odisha,Sundaragada,DISTRICT COLLECTOR SUNDARGARH,Shri Jual Oram,SUNDARGARH (ST),2026-08-31,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,2000.0
17,Lighting of public spaces,WS/MP18239/2025-2026/214751,Uttar Pradesh,SAMBHAL,DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL,ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159.0
18,Lighting of public spaces,WS/MP18239/2025-2026/214637,Uttar Pradesh,SAMBHAL,DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL,ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159.0
19,Lighting of public spaces,WS/MP18239/2025-2026/214638,Uttar Pradesh,SAMBHAL,DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL,ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159.0
20,Lighting of public spaces,WS/MP18239/2025-2026/214639,Uttar Pradesh,SAMBHAL,DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL,ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159.0
21,Lighting of public spaces,WS/MP18239/2025-2026/214742,Uttar Pradesh,SAMBHAL,DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL,ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159.0
22,Lighting of public spaces,WS/MP18239/2025-2026/214643,Uttar Pradesh,SAMBHAL,DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL,ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159.0
23,Lighting of public spaces,WS/MP18239/2025-2026/214761,Uttar Pradesh,SAMBHAL,DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL,ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159.0
24,Lighting of public spaces,WS/MP18239/2025-2026/214776,Uttar Pradesh,SAMBHAL,DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL,ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159.0
25,Lighting of public spaces,WS/MP18239/2025-2026/214774,Uttar Pradesh,SAMBHAL,DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL,ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159.0
26,Lighting of public spaces,WS/MP18239/2025-2026/214772,Uttar Pradesh,SAMBHAL,DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL,ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159.0
27,Lighting of public spaces,WS/MP18239/2025-2026/214778,Uttar Pradesh,SAMBHAL,DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL,ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159.0
28,Lighting of public spaces,WS/MP18239/2025-2026/214780,Uttar Pradesh,SAMBHAL,DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL,ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159.0
29,Lighting of public spaces,WS/MP18239/2025-2026/214753,Uttar Pradesh,SAMBHAL,DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL,ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159.0
30,Lighting of public spaces,WS/MP18239/2025-2026/214768,Uttar Pradesh,SAMBHAL,DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL,ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159.0
31,Lighting of public spaces,WS/MP18239/2025-2026/214767,Uttar Pradesh,SAMBHAL,DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL,ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159.0
32,Lighting of public spaces,WS/MP18239/2025-2026/214771,Uttar Pradesh,SAMBHAL,DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL,ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159.0
33,Street lights,WS/MP18222/2025-2026/184243,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,19992.0
34,Street lights,WS/MP18222/2025-2026/184254,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,19992.0
35,Street lights,WS/MP18222/2025-2026/184255,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,19992.0
36,Street lights,WS/MP18222/2025-2026/184305,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,19992.0
37,Street lights,WS/MP18222/2025-2026/184282,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,19992.0
38,Street lights,WS/MP18222/2025-2026/184280,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,19992.0
39,Street lights,WS/MP18222/2025-2026/184264,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,19992.0
40,Street lights,WS/MP18222/2025-2026/184266,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,19992.0
41,Street lights,WS/MP18222/2025-2026/184279,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,19992.0
42,Street lights,WS/MP18222/2025-2026/184239,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
43,Street lights,WS/MP18222/2025-2026/184034,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
44,Street lights,WS/MP18222/2025-2026/184234,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
45,Street lights,WS/MP18222/2025-2026/184088,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
46,Street lights,WS/MP18222/2025-2026/214196,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
47,Street lights,WS/MP18222/2025-2026/214193,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
48,Street lights,WS/MP18222/2025-2026/214195,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
49,Street lights,WS/MP18222/2025-2026/214174,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
50,Street lights,WS/MP18222/2025-2026/214190,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
51,Street lights,WS/MP18222/2025-2026/214321,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
52,Street lights,WS/MP18222/2025-2026/214004,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
53,Street lights,WS/MP18222/2025-2026/214008,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
54,Street lights,WS/MP18222/2025-2026/214202,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
55,Street lights,WS/MP18222/2025-2026/214253,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
56,Street lights,WS/MP18222/2025-2026/214320,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
57,Street lights,WS/MP18222/2025-2026/214103,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
58,Street lights,WS/MP18222/2025-2026/214104,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
59,Street lights,WS/MP18222/2025-2026/214105,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
60,Street lights,WS/MP18222/2025-2026/214106,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
61,Street lights,WS/MP18222/2025-2026/214115,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
62,Street lights,WS/MP18222/2025-2026/214107,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
63,Street lights,WS/MP18222/2025-2026/214001,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
64,Street lights,WS/MP18222/2025-2026/214002,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
65,Street lights,WS/MP18222/2025-2026/214003,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
66,Street lights,WS/MP18222/2025-2026/214061,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
67,Street lights,WS/MP18222/2025-2026/214060,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
68,Street lights,WS/MP18222/2025-2026/214059,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
69,Street lights,WS/MP18222/2025-2026/214058,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
70,Street lights,WS/MP18222/2025-2026/214009,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
71,Street lights,WS/MP18222/2025-2026/214010,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044.0
72,Street lights,WS/MP18222/2025-2026/171510,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
73,Street lights,WS/MP18222/2025-2026/171499,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
74,Street lights,WS/MP18222/2025-2026/171502,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
75,Street lights,WS/MP18222/2025-2026/171466,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
76,Street lights,WS/MP18222/2025-2026/171467,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
77,Street lights,WS/MP18222/2025-2026/171454,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
78,Street lights,WS/MP18222/2025-2026/171451,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
79,Street lights,WS/MP18222/2025-2026/171468,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
80,Street lights,WS/MP18222/2025-2026/171411,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
81,Street lights,WS/MP18222/2025-2026/171469,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
82,Street lights,WS/MP18222/2025-2026/171470,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
83,Street lights,WS/MP18222/2025-2026/171420,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
84,Street lights,WS/MP18222/2025-2026/171449,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
85,Street lights,WS/MP18222/2025-2026/171410,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
86,Street lights,WS/MP18222/2025-2026/171571,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
87,Street lights,WS/MP18222/2025-2026/171577,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
88,Street lights,WS/MP18222/2025-2026/171579,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
89,Street lights,WS/MP18222/2025-2026/171580,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
90,Street lights,WS/MP18222/2025-2026/171581,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
91,Street lights,WS/MP18222/2025-2026/171582,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
92,Street lights,WS/MP18222/2025-2026/171388,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
93,Street lights,WS/MP18222/2025-2026/171370,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
94,Street lights,WS/MP18222/2025-2026/171501,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
95,Street lights,WS/MP18222/2025-2026/171497,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992.0
96,Street lights,WS/MP18222/2025-2026/184343,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
97,Street lights,WS/MP18222/2025-2026/184332,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
98,Street lights,WS/MP18222/2025-2026/184328,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
99,Street lights,WS/MP18222/2025-2026/184330,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
100,Street lights,WS/MP18222/2025-2026/171392,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
101,Street lights,WS/MP18222/2025-2026/171393,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
102,Street lights,WS/MP18222/2025-2026/184316,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
103,Street lights,WS/MP18222/2025-2026/184319,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
104,Street lights,WS/MP18222/2025-2026/171592,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
105,Street lights,WS/MP18222/2025-2026/171610,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
106,Street lights,WS/MP18222/2025-2026/171611,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
107,Street lights,WS/MP18222/2025-2026/171612,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
108,Street lights,WS/MP18222/2025-2026/171613,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
109,Street lights,WS/MP18222/2025-2026/171614,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
110,Street lights,WS/MP18222/2025-2026/182254,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
111,Street lights,WS/MP18222/2025-2026/182256,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
112,Street lights,WS/MP18222/2025-2026/172029,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992.0
